SpO2	VT	Fb	VI	Systolic	Diastolic	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Barometric Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
%	L	BPM	L/min	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	s
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6367798	0.634030938	-0.03125	57.25665283	32.68952942	77.54374695	729.4879761	4214.36301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5708466	0.634030938	0.133680552	57.25665283	32.68952942	77.54374695	729.4879761	4214.41801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5049133	0.67943871	0.212797612	57.25665283	32.68952942	77.54374695	729.4879761	4214.50801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.7466736	0.620408595	0.298437506	57.25665283	32.68952942	77.54374695	729.4879761	4214.61301
0.46875	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5049133	0.615867794	0.15625	57.7131424	32.16883087	77.54374695	729.4879761	4214.71301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4389801	0.631760597	-0.169270828	57.7131424	32.16883087	77.54374695	729.4879761	4214.73301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6367798	0.663546026	0.028409092	57.7131424	32.16883087	77.54374695	729.4879761	4214.79301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6587677	0.67716831	-0.149305552	57.7131424	32.16883087	77.54374695	729.4879761	4214.84801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1752625	0.645382881	-0.192708328	57.7131424	32.16883087	77.54374695	729.4879761	4214.93801
0.34375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1532745	0.638571739	-0.098958336	57.7131424	32.16883087	77.54374695	729.4879761	4214.96801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.631760597	-0.544642866	57.7131424	32.16883087	77.54374695	729.4879761	4214.99801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.9994354	0.672627628	0.004464286	57.7131424	32.16883087	79.07032013	729.4879761	4215.10301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.0653687	0.64311254	-0.181250006	57.7131424	32.16883087	79.07032013	729.4879761	4215.13801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1313019	0.661275625	0.105902776	57.7131424	32.16883087	79.07032013	729.4879761	4215.18801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6367798	0.64311254	-0.09375	57.7131424	32.16883087	79.07032013	729.4879761	4215.27801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5708466	0.652194023	0.20738636	57.7131424	32.16883087	79.07032013	729.4879761	4215.30301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1972351	0.665816367	0.024639424	57.7131424	32.16883087	79.07032013	729.4879761	4215.35801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3071289	0.670357168	146.7960358	52.08073044	28.78513145	78.16958618	729.4879761	4217.43801
0.4375	#NUM!	#NUM!	#NUM!	111.8459702	-12.01671124	#NUM!	#NUM!	#NUM!	145.0873413	0.774795175	146.7960358	53.34124374	31.22085953	68.84145355	729.4879761	4222.03801
0.46875	#NUM!	#NUM!	#NUM!	111.923851	-12.33367443	#NUM!	#NUM!	#NUM!	145.1972351	0.777065516	146.7960358	52.87176895	31.77294159	68.25444031	729.4879761	4223.03801
0.375	#NUM!	#NUM!	#NUM!	111.923851	-12.33367443	#NUM!	#NUM!	#NUM!	145.3071289	0.75663203	39.14768219	51.37104797	32.296875	68.25444031	729.4879761	4223.42801
0.40625	#NUM!	#NUM!	#NUM!	100.6487579	-0.875651062	#NUM!	#NUM!	#NUM!	145.285141	0.765713632	40.89932251	52.9473114	30.18022537	69.9761734	729.4879761	4224.41301
0.4375	#NUM!	#NUM!	#NUM!	111.8570557	-12.63010693	#NUM!	#NUM!	#NUM!	145.1313019	0.743009746	40.89932251	54.72241592	34.15901184	66.40023041	729.4879761	4225.03801
0.40625	#NUM!	#NUM!	#NUM!	111.8570557	-12.63010693	#NUM!	#NUM!	#NUM!	145.2192078	0.693061113	39.93218613	54.72241592	34.15901184	66.40023041	729.4879761	4225.42801
0.40625	#NUM!	#NUM!	#NUM!	111.8570557	-12.63010693	#NUM!	#NUM!	#NUM!	145.5928345	0.695331454	39.93218613	54.40312576	34.7971344	68.9148407	729.4879761	4226.41801
0.40625	#NUM!	#NUM!	#NUM!	111.8570557	-12.63010693	#NUM!	#NUM!	#NUM!	145.5708466	0.690790772	0.411356717	54.40312576	34.7971344	68.9148407	729.4879761	4226.42801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.7466736	0.647653222	-0.075892858	55.26103973	34.82847214	60.30716324	729.4879761	4228.47801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1752625	0.649923682	0.0078125	55.26103973	33.85952377	60.30716324	729.4879761	4228.54801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.668086767	0.201923072	53.30015945	33.85952377	60.30716324	729.4879761	4228.58801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.2411957	0.681709111	0.304435492	53.30015945	33.85952377	60.30716324	729.4879761	4228.65301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3510742	0.699872255	0.294642866	53.30015945	33.85952377	60.30716324	729.4879761	4228.80801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3071289	0.727116942	0.15625	53.30015945	33.85952377	60.30716324	729.4879761	4228.84301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3510742	0.727116942	0.2265625	53.30015945	33.85952377	60.30716324	729.4879761	4228.88301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.460968	0.727116942	0.052884616	53.30015945	33.85952377	60.30716324	729.4879761	4228.90301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1752625	0.727116942	-0.112499997	53.30015945	33.85952377	60.30716324	729.4879761	4228.96801
0.34375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.731657803	-0.263020843	53.30015945	33.85952377	60.30716324	729.4879761	4228.99301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.2192078	0.783876777	-0.29296875	53.30015945	33.85952377	60.30716324	729.4879761	4229.05301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.783876777	-0.491319448	53.30015945	33.85952377	60.30716324	729.4879761	4229.09301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3950348	0.849718034	-0.28125	53.30015945	33.85952377	60.30716324	729.4879761	4229.18301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1752625	0.904207408	-0.05078125	53.30015945	33.85952377	61.73679352	729.4879761	4229.22801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.2631683	0.892855525	0.090277776	53.30015945	33.85952377	61.73679352	729.4879761	4229.30801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.460968	0.901936948	0.159482762	53.30015945	33.85952377	61.73679352	729.4879761	4229.35301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.9774628	0.94734484	-0.098958336	53.30015945	33.85952377	61.73679352	729.4879761	4229.49801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.9115143	0.9496153	0.1484375	53.97985458	35.92013931	61.73679352	729.4879761	4229.55801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.867569	0.945074499	0.206249997	53.97985458	35.92013931	61.73679352	729.4879761	4229.57801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.9115143	0.956426382	0.293749988	53.97985458	35.92013931	61.73679352	729.4879761	4229.60301
