Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Ambient Temp	Humidity	Barometric Pressure	Water Vapour Pressure	 	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	%CO2	mmHg	V	%	%O2	%CO2	cm/s	cm/s	d(L)	L	BPM	L/min	L/min	%O2	%CO2	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	°C	%	mmHg	mmHg	d(s)	 
0.014328672	13.30923832	5.713346108	94.34375	-2.018149539	95.25	21.08224869	0.5407058	53.1875	29.5	-0.467059016	-0.713721395	15.09433937	11.95167542	12.04123974	20.62810707	0.407495022	39.08326721	90.21405792	-0.050333261	0.017646015	-0.350583583	90.6311264	38.90582657	104.4804459	56.68981552	29.82302666	87.90535736	23.89999962	20	727.9639893	4.430587769	6212.353375	 
0.005278985	13.12550104	5.824088242	85.34375	-2.01636449	95.40625	20.91563797	0.657910109	50.21875	23.5625	-0.464474261	-0.853188515	8.281573296	7.838695526	7.90079689	20.65872955	0.293495774	41.78920364	88.54581451	-0.026556849	0.01966382	-0.740442514	89.37992859	39.65994263	97.835495	53.53689575	27.04051971	64.88194275	23.89999962	20	727.9639893	4.430587769	6216.328375	 
0.027903203	12.29868331	6.133514794	93.1875	-2.017554523	95.5	20.67102814	0.822373927	60.46875	33	-0.470385552	-0.667458415	10.10951996	7.485842228	7.51912117	20.65872955	0.485665947	41.81138611	83.12400818	#NUM!	#NUM!	#NUM!	83.74960327	41.76702881	96.42584991	56.20913315	30.96860695	72.11050415	23.89999962	20	727.9639893	4.430587769	6223.573375	 
0.054298129	12.94176377	5.732888838	111.46875	-2.017625925	95.34375	20.67102814	0.822373927	58.46875	33.03125	-0.399565101	-0.536445737	35.29411697	21.00458145	21.13370895	20.1993866	0.811378121	39.08326721	87.92021942	#NUM!	#NUM!	#NUM!	88.12875366	39.0389061	101.326004	58.10592651	28.84138107	67.64561462	23.89999962	20	727.9639893	4.430587769	6229.508375	 
0.03619875	12.97238665	5.729631716	78.1875	-2.016697699	95.53125	20.67102814	0.822373927	48.84375	24.0625	-0.471633792	-0.519100845	24.14486885	13.90472889	14.05402279	19.92378044	0.726692975	39.74866486	87.50315857	#NUM!	#NUM!	#NUM!	88.33728027	39.01673126	98.71376801	58.57804871	28.91049767	232.1611481	23.89999962	20	727.9639893	4.430587769	6231.208375	 
0.017345235	12.69678074	5.830602486	105.9375	-2.017959134	95.4375	20.67102814	0.822373927	65.25	32.9375	-0.470097005	#NUM!	#NUM!	#NUM!	#NUM!	20.41374588	0.726692975	#NUM!	86.46051025	#NUM!	#NUM!	#NUM!	86.46051025	39.70430374	96.9907074	58.43914413	30.68839264	77.48823547	23.89999962	20	727.9639893	4.430587769	6233.693375	 
0.010557969	13.67671286	5.771974297	75.21875	-2.01779253	95.25	18.83567429	1.971688151	46.15625	23.53125	-0.37711817	-0.70693022	16.26016235	12.75226593	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	93.13349152	39.30506516	88.5592041	50.40873718	26.15365791	68.86713409	23.89999962	20	727.9639893	4.430587769	6386.502256	 
0.014328672	13.64608998	5.771974297	90.875	-2.018030536	95.40625	18.83567429	1.971688151	57.21875	33.09375	-0.416823149	-0.769672215	17.49271202	14.9365015	14.9079504	20.65872955	0.300010026	39.39378357	92.50790405	#NUM!	#NUM!	#NUM!	92.92495728	39.30506516	87.15357208	50.18009567	26.57927132	72.69042969	23.89999962	20	727.9639893	4.430587769	6390.192256	 
0.012820391	13.86045014	5.596089731	74.5	-2.017126111	95.25	18.83567429	1.971688151	45.375	23.15625	-0.338944018	-0.740745485	20.40816307	16.77099609	16.72790146	20.65872955	0.352123976	38.55095291	93.75908661	#NUM!	#NUM!	#NUM!	94.38466644	38.10735703	87.49773407	52.94440842	25.03081322	230.0156097	23.89999962	20	727.9639893	4.430587769	6393.622256	start baseline
0.027149064	13.86045014	5.615632461	73.78125	-2.017149912	95.625	18.83567429	1.971688151	46.1875	23.53125	-0.327859938	-0.716861188	17.99100494	14.30791664	14.27527046	20.65872955	0.329324126	38.61749268	93.75908661	#NUM!	#NUM!	#NUM!	94.38466644	38.24043655	88.05387878	53.33456039	28.13125038	225.6112518	23.89999962	20	727.9639893	4.430587769	6396.562256	start baseline
