Flow	%O2	%CO2	BP	ECG	SpO2	FeCO2	FeO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Systolic	Diastolic	Barometric Pressure	Water Vapour Pressure	 	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	%CO2	mmHg	V	%	 	%	cm/s	cm/s	L	L	BPM	L/min	L/min	%CO2	V	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	mmHg	mmHg	mmHg	s	 
-0.06428365409	20.98855729	0.06052595875	0.28125	-2.009343296	0.375	0.06926518501	20.99671452	0.125	0.03125	7.463550568	-0.00035999791	4.285714149	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.1781769	0.4100076854	#NUM!	0	0	#NUM!	#NUM!	#NUM!	724.40802	#NUM!	2799.646057	o2
-0.05830378085	21.01894539	0.06052595875	-0.09375	-2.026098959	0.375	0.04456879301	20.99984223	0	-0.0625	2.103483438	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3840332	0.4100076854	#NUM!	-0.006250000093	-0.01875000075	#NUM!	#NUM!	#NUM!	724.40802	#NUM!	2813.646057	co2
-0.0007474843296	13.96890587	5.564986953	77.40625	-2.016293088	0.4375	0.0241942696	20.97794822	66.21875	65	0.6639184952	-1.420010686	1.212243676	0.5308240652	0.5307040811	20.97999954	0.03999999911	37.78613281	#NUM!	2.8297e-005	-6.5880e-005	-2.32813406	94.62648773	37.69766998	92.42118835	61.90168762	47.37482834	63.32453918	127.1883698	74.79036713	724.40802	454.7445068	5695.577076	 
0.01719214022	15.60986334	4.807552225	93.34375	-2.01891116	97.4375	0.06123885761	20.98733137	62.46875	45	1.57830584	-1.268289924	9.471191406	1.275028706	1.275490046	20.97999954	0.03999999911	34.4466095	98.53766632	-0.0001493692398	0.0002127853222	-1.424559236	105.7424698	32.56674576	103.0161362	56.46875	41.4756012	56.60377502	146.1102905	77.21763611	724.40802	627.1973877	5745.072076	 
0.01195974927	15.36675853	5.085060639	88.53125	-2.01888736	97.3125	0.03654246561	20.98107593	53.125	42.3125	1.389078379	-1.147023678	8.908685684	1.885454774	1.885397911	20.97999954	0.03999999911	35.19855499	103.478096	-6.5565e-006	-5.1187e-005	7.807040215	104.0956573	34.4466095	98.48403931	51.40035248	41.84608459	61.14649582	141.052887	73.86303711	724.40802	557.4625854	5751.407076	 
0.008969812654	15.12365372	5.183004784	108.875	-2.017506922	98.28125	0.05074289101	20.98107593	55.625	53.875	1.301475048	-1.066720009	8.480565071	2.242632866	2.242968321	20.97999954	0.03999999911	36.17166138	102.0371399	-7.4208e-005	0.0001892447472	-2.550200701	102.4488449	35.11009216	96.06362915	47.28744507	35.5625	53.2741394	135.3751221	72.64094543	724.40802	503.1847229	5758.142076	 
0.01943459362	14.97171321	5.316861784	132.53125	-2.018863559	98.40625	0.05382994001	20.98733137	38.90625	28.5	1.178527474	-1.267018795	8.021389961	1.757080674	1.757551551	20.97999954	0.03999999911	36.17166138	100.3903275	-0.000178694725	0.0001909424318	-1.068539858	101.4195862	36.01684952	101.6656418	54.25548172	38.83177567	56.47058868	138.1026306	78.80514526	724.40802	569.0985718	5765.217076	 
0.008969812654	14.94132511	5.271154516	92.9375	-2.01891116	98.34375	0.04642102241	20.9935868	56.90625	46.78125	1.288663864	-1.416548967	6.430868149	2.912995338	2.913733721	20.97999954	0.03999999911	36.41493988	100.3903275	-0.0004323720932	0.0001470878487	-0.3401881158	101.2137375	35.70722198	92.56266022	54.93229294	44.90144348	59.33250809	128.5428314	71.39525604	724.40802	443.8264465	5772.697076	 
0.01420220267	14.7286084	5.372363466	78.78125	-2.018649353	98.46875	0.04642102241	20.98733137	42.84375	32	1.648339272	-1.221438646	7.528230667	2.440898895	2.441323996	20.97999954	0.03999999911	36.59186554	99.15522766	-0.0002105236053	0.0001231794013	-0.5851097107	99.77277374	36.39282227	96.3039093	53.32323837	39.32891464	58.89570618	131.4534454	75.1875	724.40802	489.8002625	5782.027076	 
0.02840440534	14.6678322	5.365833857	82.34375	-2.018958762	97.53125	0.05012548121	20.97169278	43.75	30.625	1.288710594	-1.344877958	5.722460747	1.223923922	1.223952055	20.97999954	0.03999999911	36.59186554	98.1259613	7.5176e-005	9.7288e-005	1.294124007	99.36107635	36.34858704	101.8700409	53.56538391	39.72325897	58.39416122	138.7252655	79.74609375	724.40802	581.3260498	5789.997076	 
