Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Ambient Temp	Humidity	Barometric Pressure	Water Vapour Pressure	 	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	d(%CO2)	mmHg	V	%	%O2	%CO2	cm/s	cm/s	L	L	BPM	L/min	L/min	%O2	%CO2	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	°C	%	mmHg	mmHg	d(s)	 
0.00910515	12.33806089	2.460828096	71.1875	-2.017197513	97.625	0.209944233	4.101068974	-1.34375	113.375	0.623578012	-1.687823415	7.357449532	13.83140373	11.39012337	20.95267868	0.24770093	42.53206253	82.11347961	2.264192581	0.348998249	0.154138058	84.20578766	42.50981522	88.17551422	1.263020873	80.77952576	69.38732147	22.79999924	20	729.4879761	4.144955158	5462.080138	 
0.039455649	14.05485301	2.160965599	86.8125	-2.018625553	97.4375	0.209243432	4.101051807	4.71875	83	0.85613364	-0.771504641	13.15789509	11.30672741	9.306753159	20.95267868	0.283554047	42.50981522	87.13500214	1.849350214	0.284711212	0.153952032	95.92267609	40.46329117	83.49750519	4.291666508	77.90234375	40.95991516	22.79999924	20	729.4879761	4.144955158	5470.235138	 
0.0121402	13.01251494	2.447790596	84.15625	-2.018673154	97.40625	0.208809823	4.101050377	-2.03125	54.21875	0.69832474	-0.794283569	15.95744705	14.1172781	11.65802097	20.73807907	0.241182178	42.50981522	87.13500214	2.30364418	0.35345149	0.15343146	88.80885315	42.4208374	87.10374451	-2.53125	71.4150238	70.49636078	22.79999924	20	729.4879761	4.144955158	5474.795138	 
0.0121402	12.95120094	2.304378098	73	-2.017959134	97.46875	0.208448261	4.101057053	10.625	65.75	0.631869853	-0.748814702	16.12903214	13.4522419	11.10265255	20.76873589	0.254219681	42.53206253	87.13500214	2.19222188	0.334547401	0.152606547	88.39038849	41.44206238	82.35135651	5.59375	72.63986206	73.53134155	22.79999924	20	729.4879761	4.144955158	5478.555138	 
0.010622675	12.92054393	2.275043723	85.46875	-2.017697327	97.5625	0.208052978	4.101067543	-5.6875	84.59375	0.606082797	-0.753951848	15.625	13.1212616	10.83096027	20.73807907	0.273775935	41.62002182	86.29808044	2.137254477	0.325589389	0.152340025	88.18115997	41.24185562	83.22641754	4.046875	76.60328674	67.89759827	22.79999924	20	729.4879761	4.144955158	5482.275138	 
0.007587625	12.98185794	2.307637473	87	-2.017863932	97.53125	0.207697958	4.101076603	-4.5	77.5625	0.5942747	-0.753556669	16.92524719	14.20570946	11.72801113	20.73807907	0.260738432	41.50879669	85.87962341	2.315365553	0.353677481	0.152752325	88.59962463	41.46430588	91.6174469	-0.7578125	76.28456879	66.85834503	22.79999924	20	729.4879761	4.144955158	5486.115138	 
0.010622675	12.79791592	2.265265598	89.71875	-2.018458948	97.4375	0.207387552	4.101080894	6.75	63.71875	0.599235475	-0.834428012	14.88833714	13.83716202	11.42709637	20.7993927	0.175994679	41.50879669	86.08885193	2.258098841	0.346774191	0.153569087	87.34423828	41.17512512	85.99765778	0.901785731	79.0300827	70.89280701	22.79999924	20	729.4879761	4.144955158	5489.660138	 
0.016692774	12.85922993	2.262006223	67.96875	-2.01710231	97.59375	0.207052499	4.101085186	-10.96875	133.40625	0.677944183	-1.045209646	7.366482735	8.575818062	7.075861454	20.83005142	0.215107188	41.44206238	86.29808044	1.401594877	0.216309726	0.154331133	87.76269531	41.15287781	85.90979767	-4.192307472	83.36261749	71.59960175	22.79999924	20	729.4879761	4.144955158	5493.690138	 
0.013657725	13.47236997	2.037109351	85.6875	-2.017602124	97.625	0.206418663	4.101091385	4.9375	62.53125	0.872318029	-0.957760215	18.63354111	19.87760925	16.40228081	20.89136505	0.146660313	41.26409912	89.43653107	3.254525185	0.507118762	0.15581958	91.9473114	39.61798477	88.28497314	3.072916746	77.78919983	71.17179871	22.79999924	20	729.4879761	4.144955158	5501.835138	 
0.018969063	14.39208003	1.841546853	83.4375	-2.01600748	97.3125	0.206175551	4.101093292	-10.84375	64.25	0.665345311	-0.954512	10.96892166	11.66157722	9.622686386	20.89136505	0.146660313	40.93043137	89.43653107	1.909222603	0.297585219	0.155867219	98.22422028	38.28329468	84.20870972	-1.611607194	82.29348755	81.99982452	22.79999924	20	729.4879761	4.144955158	5505.055138	 
0.010622675	13.38039896	2.10229685	80.75	-2.01888736	97.5	0.205779523	4.101085186	-6.875	53.09375	0.753639877	-0.83008343	14.03508759	12.9762392	10.71293354	20.86070824	0.136882186	40.97491837	89.64576721	2.123533964	0.330849469	0.155801356	91.31961823	40.06288147	87.91062164	4.116071224	72.97090149	66.81291962	22.79999924	20	729.4879761	4.144955158	5510.525138	 
0.013657725	13.34974196	2.209856224	113.40625	-2.017673526	97.28125	0.205559596	4.101078987	10	84.5	0.717859864	-0.888851464	15.74803162	15.590765	12.87555313	20.7993927	0.172735304	40.88594055	89.64576721	2.55031538	0.396286219	0.155387148	91.11038208	40.79696274	85.48210907	-3.473214388	84.46759796	88.3731308	22.79999924	20	729.4879761	4.144955158	5514.800138	 
0.0121402	13.50302697	2.099037475	94.5625	-2.018030536	97.40625	0.20538865	4.101071835	7.625	65.34375	0.684385955	-0.995627284	11.69590664	12.97008038	10.7029438	20.86070824	0.172735304	40.93043137	91.31961823	2.120665789	0.328405768	0.154859752	92.15653229	40.04063416	85.42585754	1.875	68.59041595	62.00674057	22.79999924	20	729.4879761	4.144955158	5518.610138	 
0.006828863	13.62565498	2.105556225	90.71875	-2.017602124	97.59375	0.205145866	4.10106802	4.53125	75.15625	0.804440737	-0.759339869	13.6518774	11.54623985	9.525677681	20.92202187	0.130363435	40.12961578	90.06423187	1.885821939	0.290168256	0.153868318	92.99345398	40.08512497	88.29136658	4.213068008	78.76515961	59.85945511	22.79999924	20	729.4879761	4.144955158	5523.740138	 
0.014416487	13.38039896	2.216374974	85.71875	-2.017697327	97.40625	0.204811931	4.101066589	-2.5	79.5	0.55170548	-0.766064048	15.07537651	12.86308765	10.62012005	20.73807907	0.254219681	41.26409912	88.80885315	2.098288059	0.321624309	0.153279394	91.31961823	40.84145355	85.90290833	1.717187524	72.06629944	64.0042572	22.79999924	20	729.4879761	4.144955158	5528.135138	 
0.00910515	13.07382894	2.252228098	71.0625	-2.016531095	97.4375	0.204409748	4.101066113	-5.875	59.84375	0.558288693	-0.766090095	14.15094376	12.0747242	9.973051071	20.70742226	0.254219681	41.26409912	87.34423828	1.968682289	0.301306099	0.153049633	89.22731018	41.08614349	87.71444702	2.662499905	77.53507233	64.27590179	22.79999924	20	729.4879761	4.144955158	5532.115138	 
0.013657725	12.85922993	2.310896848	81.46875	-2.018054337	97.4375	0.2039783	4.101068974	-4.4375	69.3125	0.59322536	-0.826831996	13.85681248	12.76123238	10.52688694	20.7993927	0.260738432	41.68675613	87.55347443	2.081231594	0.318586499	0.153075948	87.76269531	41.48655319	86.28657532	2.90625	75.62265778	64.03063202	22.79999924	20	729.4879761	4.144955158	5536.355138	 
0.017451538	13.10448595	2.242449973	74.03125	-2.01707851	97.5625	0.203508705	4.101078033	-6.78125	60.4375	0.624631763	-0.874226868	13.6518774	13.29316902	10.97088432	20.83005142	0.192291558	41.73124695	88.18115997	2.169158936	0.333134651	0.153577805	89.43653107	41.01940918	86.08761597	-1.337499976	80.11476135	66.5801239	22.79999924	20	729.4879761	4.144955158	5540.685138	 
0.012898963	13.22711395	2.196818724	61.3125	-2.016221686	97.375	0.203147307	4.101088047	-8.125	113.6875	0.695559502	-0.955489993	12.59181499	13.40066814	11.05956268	20.83005142	0.192291558	41.06389999	88.80885315	2.18696928	0.336218	0.153736949	90.27346039	40.70798111	81.71951294	0.052083332	80.40412903	65.62646484	22.79999924	20	729.4879761	4.144955158	5545.080138	 
0.010622675	13.16579995	2.206596849	69.6875	-2.017935333	97.5625	0.202824712	4.101096153	0.78125	61.84375	0.718049645	-0.727359295	16.62049866	13.46495819	11.09515762	20.83005142	0.316147804	40.86369705	87.76269531	2.19572258	0.33611396	0.153076693	89.85500336	40.77471542	82.30857086	-5.453125	78.62290192	67.67580414	22.79999924	20	729.4879761	4.144955158	5549.845138	 
0.010622675	13.68696899	2.288081223	73.34375	-2.018458948	97.5625	0.202647954	4.10109663	-3.25	96.28125	0.673015893	-0.810886383	18.51851845	16.72546577	13.82032204	20.70742226	0.218366563	41.41981506	87.76269531	2.725246906	0.417600483	0.153234005	93.41191101	41.33083725	85.76738739	0.642045438	77.16725922	68.87732697	22.79999924	20	729.4879761	4.144955158	5553.455138	 
0.005311337	13.77893999	2.131631225	64.34375	-2.018125739	97.59375	0.202536076	4.101094723	-3.25	126.625	0.631509125	-0.751553893	19.10828018	15.99534893	13.19858742	20.76873589	0.267257184	40.46329117	89.43653107	2.605484247	0.39836511	0.15289484	94.03960419	40.26308441	83.04367065	-0.015625	75.88644409	69.98369598	22.79999924	20	729.4879761	4.144955158	5556.695138	 
0.018210299	14.72930706	2.144668724	62.78125	-2.017364118	97.28125	0.202408031	4.072638512	-4.15625	128.84375	0.663559377	-0.824706376	21.66065025	19.89678001	16.43518257	20.70742226	0.221625939	40.48553085	89.64576721	3.240736246	0.492343187	0.151923254	100.5257568	40.35206604	78.84270477	-0.572916687	82.25898743	79.47038269	22.79999924	20	729.4879761	4.144955158	5559.835138	 
0.00910515	14.72930706	1.994737476	84.65625	-2.015936078	97.4375	0.202319995	3.913573742	-7.71875	98.53125	0.704489291	-0.838315845	20.58319092	19.21906853	15.83673954	20.76873589	0.221625939	40.48553085	92.15653229	3.131320238	0.454947174	0.145289257	100.5257568	39.3288002	85.47135162	-1.768749952	87.12120819	73.82884979	22.79999924	20	729.4879761	4.144955158	5562.605138	 
-0.018210299	14.17748102	1.932809352	91.1875	-2.01781633	97.5625	0.202246442	3.595258474	-1.375	64.71875	0.690395236	-0.807556331	18.29268265	16.45364761	13.51011562	20.7993927	0.208588436	39.35104752	92.3657608	2.682558537	0.354874492	0.132289559	96.75959778	38.90615082	86.91794586	1.319078922	81.24305725	73.82130432	22.79999924	20	729.4879761	4.144955158	5565.520138	 
-0.001517525	13.56434098	2.059924975	84.46875	-2.017149912	97.5625	0.202135861	3.052053213	-22.0625	103.90625	0.703477144	-0.46204108	17.24137878	8.872879028	7.241332054	20.7993927	0.244441554	40.12961578	91.52883911	1.448164225	0.15968506	0.110267229	92.57499695	39.7736969	89.69586945	-2.829861164	77.9425354	80.37870789	22.79999924	20	729.4879761	4.144955158	5568.800138	 
0.01517525	13.53368397	2.11533435	89.0625	-2.018125739	97.59375	0.202093095	2.261773348	-15.75	55.71875	0.582891107	-0.802234352	16.68984795	14.91302109	12.08236217	20.76873589	0.208588436	40.32982254	91.52883911	2.437360764	0.192649871	0.079040356	92.3657608	40.1518631	89.46808624	-7.2265625	73.95709991	67.93227386	22.79999924	20	729.4879761	4.144955158	5572.280138	 
0.018210299	13.65631198	2.099037475	114.75	-2.017054709	97.28125	0.202073619	1.356905699	2.75	84.125	0.659891903	-0.843948364	17.96407127	16.88622665	13.54643059	20.83005142	0.198810309	40.35206604	91.73807526	2.763970375	0.120842017	0.043720447	93.20269012	40.04063416	87.38142395	3.05859375	78.84072876	77.91921997	22.79999924	20	729.4879761	4.144955158	5575.875138	 
0.015934013	13.53368397	2.0827406	90.8125	-2.017007108	97.5625	0.202002347	0.716749549	-16.3125	62	0.673543096	-1.952153444	9.077156067	19.73675346	15.70643997	20.95267868	0.198810309	40.1518631	91.52883911	3.233612061	0.061915021	0.019147325	92.3657608	39.92941284	89.39517975	-3.8671875	79.77823639	65.90361023	22.79999924	20	729.4879761	4.144955158	5579.215138	 
0.015934013	15.00522007	1.600353106	138.375	-2.01817334	97.59375	0.201744944	0.04951176	0	95.375	1.867584705	-0.775500476	17.64705849	15.24285698	12.04107094	20.95267868	0.25096032	38.50574112	98.85190582	2.496809244	-0.016763411	-0.006713934	102.4088287	36.6371727	89.2109375	-0.00417698	73.58964539	70.02030182	22.79999924	20	729.4879761	4.144955158	5585.825138	 
0.011381438	14.54536504	1.867621853	82.28125	-2.015912278	97.625	0.201432273	0.004040864	-0.0625	-0.09375	0.541391015	-0.736908019	13.88888931	11.399683	9.022042274	20.76873589	0.25096032	38.50574112	94.66730499	1.865281224	-0.017000834	-0.009114354	99.27036285	38.46125412	87.16390228	7.951048374	-0.020833334	73.20259094	22.79999924	20	729.4879761	4.144955158	5589.225138	 
0.011381438	13.99353901	2.118593725	90.59375	-2.019291971	97.625	0.200995907	0.005150477	64.6875	0.03125	0.525718629	-0.868514836	12.51303482	12.10464001	9.575125694	20.7993927	0.260738432	40.30757523	94.66730499	1.97832191	-0.018877789	-0.009542325	95.50421906	40.1741066	83.34770203	62.51908875	-0.01953125	22.93313026	22.79999924	20	729.4879761	4.144955158	5593.545138	 
0.010622675	13.932225	2.085999975	85.15625	-2.017245114	97.4375	0.200434968	0.006301119	77.0625	-0.03125	0.679245174	-0.858258784	13.95348835	13.33868599	10.55945492	20.83005142	0.169475928	40.32982254	93.8303833	2.178382874	-0.020874232	-0.009582444	95.08576202	39.95166016	85.55545807	72.84788513	-0.013392857	63.17576981	22.79999924	20	729.4879761	4.144955158	5598.340138	 
0.00910515	13.80959699	2.056665601	79.28125	-2.017268915	97.4375	0.200025365	0.007473369	81.34375	0.1875	0.658986628	-0.849842489	13.5746603	12.84929848	10.17228413	20.7993927	0.198810309	40.06288147	92.3657608	2.098004818	-0.019427076	-0.009259786	94.24884033	39.7514534	90.38485718	70.4078598	0.09375	61.97372055	22.79999924	20	729.4879761	4.144955158	5602.640138	 
0.01517525	13.59499798	2.10229685	87.25	-2.01743552	97.5	0.199645564	0.008355528	61.375	0	0.62405014	-0.861811519	11.67315197	11.20501423	8.870614052	20.7993927	0.198810309	40.12961578	90.90115356	1.829571605	-0.016770557	-0.009166384	92.78423309	40.06288147	84.95333862	78.39673615	-0.0125	63.48257828	22.79999924	20	729.4879761	4.144955158	5607.060138	 
0.012898963	13.41105597	2.177262474	69.0625	-2.017340317	97.3125	0.199257761	0.007848511	52.15625	-0.03125	0.629851162	-0.841679394	13.42281914	12.58352757	9.963488579	20.7993927	0.185772806	40.77471542	90.06423187	2.055454969	-0.018708391	-0.009101825	91.52883911	40.57451248	84.4068222	70.98860931	-0.025	64.08514404	22.79999924	20	729.4879761	4.144955158	5612.200138	 
0.0121402	13.25777096	2.177262474	90.90625	-2.016959507	97.3125	0.199017003	0.006783558	79	-0.09375	0.630194843	-0.768354118	14.86988831	12.72568321	10.0676012	20.7993927	0.25096032	40.79696274	89.64576721	2.079926729	-0.01884366	-0.009059771	90.4826889	40.57451248	86.89322662	77.37844849	0.013020833	69.22647858	22.79999924	20	729.4879761	4.144955158	5616.670138	 
