Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Systolic	Diastolic	Barometric Pressure	Water Vapour Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
L/s	%O2	%CO2	mmHg	V	%	 	%	cm/s	cm/s	L	L	BPM	L/min	L/min	%CO2	V	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	mmHg	mmHg	mmHg	s
0.004570124671	20.81621787	0.04892073209	0.28125	-2.022386057	0.40625	20.94600303	0.03623062882	-0.15625	-0.09375	-0.002686565975	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3349964619	-0.02083333395	-0.131249994	-0.02083333395	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.535
0.002285062335	20.81621787	0.04892073209	0.3125	-2.023766495	0.40625	20.94912775	0.03564027725	-0.125	-0.09375	-0.002717553405	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3349964619	0.02083333395	-0.1205357164	-0.05208333209	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.565
-0.001523374929	20.78586986	0.04892073209	0.4375	-2.024361511	0.40625	20.94912775	0.03268851938	-0.1875	0.0625	-0.00275395019	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3349964619	-0.01041666698	-0.131249994	0	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.595
-0.006093499716	20.78586986	0.04892073209	0.375	-2.024789923	0.46875	20.94600303	0.03327887096	-0.125	0.03125	-0.002755574184	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3349964619	0.03365384787	-0.131249994	0	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.61
-0.006855187938	20.84656588	0.04892073209	0.59375	-2.024409113	0.4375	20.93975359	0.03623062882	-0.125	0	-0.002795497887	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7518616	0.3349964619	0.1071428582	-0.1473214328	0.03125	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.675
-0.002285062335	20.84656588	0.04892073209	0.34375	-2.023552289	0.4375	20.93662886	0.03859203511	-0.25	-0.09375	-0.00282051391	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7518616	0.3349964619	0.04829545319	-0.125	-0.02500000037	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.71
0.003808437614	20.78586986	0.04892073209	0.375	-2.024194907	0.40625	20.95850192	0.04449555084	-0.09375	0.0625	-0.002831320511	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3349964619	0.1121323556	-0.1328125	-0.01041666698	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.765
0.004570124671	20.75552185	0.05214391254	0.34375	-2.025123132	0.375	20.94912775	0.03977273826	-0.125	0	-0.002874105005	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.128418	0.3570679426	-0.1000000015	-0.131249994	-0.01250000019	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.85
-0.007616875228	20.81621787	0.05214391254	0.40625	-2.024742322	0.375	20.94912775	0.02560430051	-0.125	0	-0.002892320976	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3570679426	0.0390625	-0.1383928508	0	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.875
0.004570124671	20.78586986	0.05214391254	0.53125	-2.02540874	0.40625	20.94600303	0.03268851938	-0.1875	-0.125	-0.002907559043	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.09375	-0.1145833358	-0.03125	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.935
0.006855187938	20.84656588	0.055367093	0.53125	-2.025004129	0.4375	20.94912775	0.03504992568	-0.125	-0.0625	-0.002909290604	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7518616	0.3791394532	-0.1631944478	-0.112499997	-0.006250000093	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.95
-0.003046749858	20.84656588	0.05214391254	0.5625	-2.021481632	0.4375	20.94600303	0.04921836342	-0.1875	-0.03125	-0.002923866501	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7518616	0.3570679426	0	-0.1116071418	-0.002840909176	#NUM!	#NUM!	#NUM!	731.7739868	#NUM!	6.995
0.0007616874645	20.81621787	0.04892073209	0.46875	-2.022386057	0.4375	20.93975359	0.0344595741	-0.125	0.0625	-0.002932669595	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3349964619	-0.206249997	-0.1145833358	-0.002840909176	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.005
-0.002285062335	20.81621787	0.05214391254	0.0625	-2.028931238	0.40625	20.93975359	0.03504992568	-0.1875	0.03125	-0.002951496514	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3570679426	-0.4166666567	-0.112499997	-0.002840909176	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.03
0.0007616874645	20.81621787	0.04892073209	0.34375	-2.026598773	0.4375	20.93975359	0.03386922253	-0.1875	-0.125	-0.002954297466	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3349964619	-0.0625	-0.125	-0.04166666791	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.045
-0.004570124671	20.84656588	0.04569755163	0.34375	-2.025099332	0.40625	20.94912775	0.04449555084	-0.125	0	-0.002968769055	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7518616	0.3129249513	0.06875000149	-0.1171875	-0.015625	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.075
0.006093499716	20.81621787	0.05214391254	0.3125	-2.024647119	0.40625	20.94600303	0.0692903169	-0.09375	0.03125	-0.002980195917	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3570679426	-0.05803571269	-0.137500003	-0.02812499925	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.1
0.003046749858	20.78586986	0.05214391254	0.53125	-2.024409113	0.40625	20.94912775	0.0279657068	-0.09375	-0.0625	-0.002962148516	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.14453125	-0.1328125	-0.02812499925	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.135
0.003808437614	20.78586986	0.055367093	0.3125	-2.022386057	0.40625	20.93975359	0.01379726905	-0.1875	0	-0.00294025545	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3791394532	-0.03125	-0.1354166716	0	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.215
-0.0007616874645	20.78586986	0.05214391254	0.375	-2.02214805	0.40625	20.93975359	0.01970078478	-0.15625	0.09375	-0.002940708771	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.1493055522	-0.106250003	-0.02500000037	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.24
0.006855187938	20.84656588	0.05214391254	0.375	-2.023647491	0.40625	20.93662886	0.04567625399	-0.0625	0	-0.002932502422	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7518616	0.3570679426	0.01116071455	-0.1354166716	0.006250000093	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.285
0.002285062335	20.78586986	0.05214391254	0.46875	-2.024837524	0.46875	20.94912775	0.03150781624	-0.125	0	-0.002918081358	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.02734375	-0.112499997	0	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.355
-0.006093499716	20.81621787	0.05214391254	0.375	-2.024528116	0.4375	20.95850192	0.03977273826	-0.21875	-0.09375	-0.002919346094	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3570679426	-0.09375	-0.1458333284	-0.03125	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.395
-0.001523374929	20.84656588	0.05214391254	0.5	-2.024337711	0.40625	20.95850192	0.03564027725	-0.21875	-0.0625	-0.002936287317	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7518616	0.3570679426	0.06875000149	-0.1354166716	-0.02734375	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.415
-0.004570124671	20.81621787	0.05214391254	0.34375	-2.025527743	0.4375	20.95850192	0.004941995462	-0.15625	-0.125	-0.002997177187	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3570679426	-0.09375	-0.106250003	-0.03125	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.49
-0.006855187938	20.90726189	0.05214391254	0.46875	-2.025075531	0.40625	20.95850192	0.04272449612	-0.0625	0	-0.002991711721	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	143.1674957	0.3570679426	-0.05859375	-0.1383928508	-0.0390625	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.51
0.006093499716	20.81621787	0.05214391254	0.4375	-2.02467092	0.4375	20.93662886	0.03800168354	-0.25	-0.03125	-0.002993086586	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3570679426	-0.0113636367	-0.15625	-0.03125	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.55
-0.009140249342	20.87691388	0.04892073209	0.375	-2.025265936	0.375	20.94912775	0.05276047286	0	0.09375	-0.003048598999	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.959671	0.3349964619	-0.09375	-0.09375	0.01875000075	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.66
-0.006093499716	20.78586986	0.05214391254	0.4375	-2.024075903	0.5	20.94600303	0.05512187915	-0.125	0.0625	-0.00305311149	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.03472222388	-0.09375	-0.04374999925	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.675
0.005331812426	20.78586986	0.04569755163	0.46875	-2.024766122	0.4375	20.93975359	0.04803766028	-0.1875	0	-0.00301104947	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3129249513	-0.0625	-0.125	-0.02604166605	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.765
0.004570124671	20.78586986	0.05214391254	0.4375	-2.024623318	0.4375	20.93975359	0.04862801185	-0.0625	0.0625	-0.003010855988	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.2890625	-0.125	-0.03125	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.785
-0.0007616874645	20.78586986	0.05214391254	0.375	-2.024813724	0.4375	20.94600303	0.0563025823	-0.0625	0	-0.003012675792	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.2098214328	-0.1145833358	0.0078125	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.805
-0.003046749858	20.78586986	0.05214391254	0.5	-2.024861325	0.5	20.94600303	0.01615867535	-0.125	0	-0.003016878618	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.0625	-0.1223958358	0	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.84
0.003808437614	20.78586986	0.05214391254	0.25	-2.024290109	0.4375	20.94600303	0.0149779722	-0.15625	-0.0625	-0.003023743164	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.25	-0.1223958358	0	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.85
0.004570124671	20.75552185	0.04569755163	0.46875	-2.024480514	0.40625	20.94600303	0.05039906657	-0.09375	-0.09375	-0.003029607004	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.128418	0.3129249513	0.0546875	-0.1223958358	-0.01875000075	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.865
0.006855187938	20.78586986	0.05214391254	0.4375	-2.023552289	0.4375	20.94600303	0.02088148793	-0.1875	0.0625	-0.00303017674	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.3362274	0.3570679426	-0.08928571641	-0.131249994	0	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.885
0	20.81621787	0.04892073209	0.34375	-2.022528861	0.375	20.94912775	0.03091746467	-0.0625	0	-0.00307534798	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3349964619	-0.2395833284	-0.1000000015	-0.004464285914	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.92
0.004570124671	20.81621787	0.04892073209	0.15625	-2.022409857	0.4375	20.94912775	0.03977273826	-0.25	0.0625	-0.003101946786	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5440369	0.3349964619	-0.177734375	-0.15625	-0.01250000019	30.57324791	#NUM!	#NUM!	731.7739868	#NUM!	7.935
