Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Ambient Temp	Humidity	Barometric Pressure	Water Vapour Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
L/s	%O2	%CO2	mmHg	V	%	 	%	cm/s	cm/s	L	L	BPM	L/min	L/min	%CO2	V	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	°C	%	mmHg	mmHg	s
0.01142531261	12.71329959	6.137508614	83.15625	-2.017506922	97.53125	16.48077582	3.22708088	81.96875	58.75	1.749676108	-1.620627046	6.462035656	11.48859119	11.30084324	20.97999954	0.03999999911	42.51363373	86.01829529	0.4346984625	0.2857248187	0.6572942734	87.05736542	42.02806091	82.8946228	82.60800171	61.33977509	69.76681519	26.79999924	20	731.7739868	5.280827045	742.3214787
0.02665906213	12.89538764	6.053705922	77.5	-2.016459693	97.25	16.39953306	3.447872368	55.09375	53.71875	1.493768811	-1.65708673	5.023022175	9.131134033	8.997550011	20.97999954	0.03999999911	42.18256378	86.01829529	0.3492536545	0.2432576567	0.6965070963	88.30426025	41.45420074	91.96227264	71.55225372	55.98487854	70.16305542	26.79999924	20	731.7739868	5.280827045	751.6064787
0.01828049868	12.68295158	6.189079501	128.1875	-2.018625553	97.25	16.24954642	3.533473346	88.3125	65.5625	1.887375593	-1.682775974	5.514705658	10.18035698	10.0233717	20.97999954	0.03999999911	42.42535019	86.01829529	0.4023616314	0.2777972519	0.6904168725	86.84955597	42.3812027	90.20610046	78.59988403	58.49074173	74.40383148	26.79999924	20	731.7739868	5.280827045	763.5514787
0.01294868719	12.59190756	6.150401336	112.6875	-2.018268543	97.28125	16.14955533	3.575978659	82	57.125	1.747507215	-1.920148492	5.967180729	12.56951141	12.36682129	20.97999954	0.03999999911	42.44742203	85.39484406	0.5077438354	0.3469139636	0.6832460165	86.22610474	42.11634445	88.19722748	74.97425079	57.45742035	74.63121033	26.79999924	20	731.7739868	5.280827045	774.4314787
0.01523375046	13.1078237	5.979572772	86.4375	-2.018244742	97.53125	16.04019007	3.597231316	73.125	54.28125	1.773926139	-1.273422003	9.209516525	12.86540794	12.64406681	20.97999954	0.03999999911	42.42535019	85.18702698	0.5324472189	0.3568190336	0.6701490879	89.75896454	40.94655609	85.68518066	76.82704926	55.81589127	69.34634399	26.79999924	20	731.7739868	5.280827045	784.4864787
0.0312291868	13.13817171	5.96668005	123.46875	-2.018101938	97.25	16.00894286	3.766071866	93.875	67.65625	1.166789889	-1.360009193	7.989347458	11.9197607	11.73478222	20.97999954	0.03999999911	41.14519882	88.92771149	0.493662715	0.346886456	0.702679038	89.96678162	40.85827255	89.71502686	80.14552307	56.78901672	70.95295715	26.79999924	20	731.7739868	5.280827045	791.0014787
0.01294868719	13.07747569	5.995688674	106.625	-2.017768729	97.5	16.08081145	3.925466791	77.5	53.71875	1.606734514	-1.495040536	7.97342205	13.07711983	12.91139984	20.97999954	0.03999999911	41.14519882	88.92771149	0.5295048952	0.3980097771	0.7516640425	89.55114746	41.05691528	83.62611389	71.56175995	54.62777328	70.54621124	26.79999924	20	731.7739868	5.280827045	798.5114787
0.01294868719	13.13817171	5.976349591	93.1875	-2.018054337	97.375	16.02144174	3.742457803	74.59375	52.25	1.481848717	-1.165790319	10.74306202	13.73924541	13.52415657	20.97999954	0.03999999911	41.16727448	89.13552094	0.5679146051	0.3972466886	0.6994831562	89.96678162	40.92448807	90.16606903	74.82482147	54.00518036	68.74936676	26.79999924	20	731.7739868	5.280827045	806.0364787
0.009901937097	13.32025976	5.911885982	84.28125	-2.01817334	97.5	16.25892059	3.566533034	116.34375	76.53125	0.9745077491	-0.6077119112	12.73885345	8.492634773	8.366100311	20.97999954	0.03999999911	41.16727448	89.75896454	0.3344641924	0.2340621054	0.6998121738	91.21367645	40.48305893	94.34242249	76.34934998	58.16383743	70.14990997	26.79999924	20	731.7739868	5.280827045	811.6214787
0.01294868719	12.50086353	6.230980847	74.25	-2.017554523	97.25	16.21204976	3.598412019	120.90625	79.96875	0.957927525	-1.924718976	5.623242855	11.87322044	11.69412994	20.97999954	0.03999999911	42.86677551	84.97921753	0.4722328186	0.3301292658	0.6990815997	85.6026535	42.6681366	92.48986053	76.84197998	60.61269379	75.85923004	26.79999924	20	731.7739868	5.280827045	816.3314787
