Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Ambient Temp	Humidity	Barometric Pressure	Water Vapour Pressure	 	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	%CO2	mmHg	V	%	%O2	%CO2	cm/s	cm/s	L	L	BPM	L/min	L/min	%CO2	%	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	°C	%	mmHg	mmHg	s	 
0.02179595083	13.94043241	5.83553215	32.125	-2.020101193	126.15625	18.56253433	2.216088533	37.59375	28.15625	1.546359301	-2.164384365	4.796163082	11.48326969	11.44828129	20.97999954	0.03999999911	#NUM!	#NUM!	0.2194890976	0.1924581677	0.8768461347	92.94644165	38.90782547	45.91609573	45.2335434	34.65625	71.06500244	25	20	713.7399902	4.736500263	11.41	 
0.01516239997	13.87945547	5.795448021	83.8125	-2.022981073	98.28125	18.19778442	2.500102997	41.28125	31.5	1.831675768	-2.115319014	3.888528824	9.099100113	9.062141418	20.97999954	0.03999999911	39.28643799	90.50708771	0.2007799149	0.1722262055	0.8577859998	92.53987885	38.64056778	87.24824524	46.08824539	35.60493469	67.80459595	25	20	713.7399902	4.736500263	23.92	 
0.005685899872	13.42212846	5.992528318	91.625	-2.003131324	97.5625	17.75024796	2.802133083	41.375	33.1875	1.618908167	-2.135413408	5.647058964	13.33956146	13.26104736	20.97999954	0.03999999911	40.04367065	88.67758179	0.3436214924	0.2829626203	0.8234718442	89.49069977	39.95458221	96.54135895	46.0847168	36.11168289	67.77448273	25	20	713.7399902	4.736500263	39.35	 
0.01137179974	13.848967	5.768725269	83.03125	-2.020839014	97.625	17.47750473	2.991124868	36	27.03125	1.775551558	-2.362211227	4.821213245	12.59831142	12.51097012	20.97999954	0.03999999911	40.04367065	88.88085938	0.3526988029	0.2852208912	0.80868119	92.33659363	38.46239853	99.76091766	43.28677368	35.73273468	66.53920746	25	20	713.7399902	4.736500263	49.975	 
0.01042415015	14.24531708	5.765384925	81.375	-2.020077393	97.3125	17.1222496	3.223631144	36.96875	25.625	2.05162549	-1.985390544	4.67836237	10.27488708	10.18793011	20.97999954	0.03999999911	38.84101105	91.72676086	0.3177380562	0.2505567074	0.7885637283	94.97923279	38.44012833	93.12517548	42.90660095	34.44509506	67.07126617	25	20	713.7399902	4.736500263	62.42	 
0.01231944934	13.78799007	5.905679374	97.5625	-2.019577579	97.3125	16.86490059	3.387609005	51.21875	53.6875	1.546394229	-2.238000154	3.830194712	9.482398987	9.391140938	20.97999954	0.03999999911	39.86549759	90.30381775	0.3133592606	0.2428547144	0.7750040889	91.93003845	39.37552643	102.2180862	43.85652542	34.69259644	65.74129486	25	20	713.7399902	4.736500263	75.245	 
0.008528850041	13.60505927	5.979166942	86.1875	-2.019863187	97.3125	16.76579857	3.483544827	37.40625	27.96875	1.698687077	-2.237011671	4.765686989	11.79318237	11.67922115	20.97999954	0.03999999911	40.13275528	89.49069977	0.3987250328	0.3106806874	0.7791852951	90.71037292	39.86549759	94.94381714	43.65028763	33.91721344	69.94467163	25	20	713.7399902	4.736500263	90.91	 
0.01231944934	13.72701314	5.88563731	76.90625	-2.018316144	97.4375	16.69141769	3.556159258	32.9375	24.5	1.779845357	-2.176262617	4.060913563	9.776249886	9.681564331	20.97999954	0.03999999911	40.15502548	89.49069977	0.3361241817	0.2629720569	0.782365799	91.52349091	39.24189758	96.65345764	44.4228363	34.61048508	69.11174011	25	20	713.7399902	4.736500263	103.5	 
0.01042415015	13.4831054	6.025931759	88.15625	-2.020410602	97.5625	16.60018158	3.61692524	38.9375	28	1.775976062	-2.323022366	4.983388901	12.80605698	12.67718315	20.97999954	0.03999999911	40.42228317	88.67758179	0.4498547316	0.3502895236	0.7786725163	89.89725494	40.1772995	97.65445709	44.73939896	34.07695007	70.79196167	25	20	713.7399902	4.736500263	118.275	 
0.01705770008	13.81847854	5.865595246	81.625	-2.019196768	97.5	16.48370743	3.704334974	41.4375	29.21875	1.768642187	-2.415403128	3.957783699	10.57496452	10.46473122	20.97999954	0.03999999911	40.4890976	88.67758179	0.3813859224	0.2962218821	0.7766985297	92.13332367	39.10827255	104.2081528	47.62718582	35.46263123	67.56624603	25	20	713.7399902	4.736500263	130.315	 
0.01516239997	13.78799007	5.929061782	80.25	-2.021029419	97.4375	16.39118195	3.766394377	36.96875	28.09375	2.083669662	-2.156364441	4.449388027	10.61352634	10.49888325	20.97999954	0.03999999911	39.91003799	89.69396973	0.3907920122	0.302221179	0.7733555436	91.93003845	39.53142548	96.35694885	45.546875	35.14113617	64.60224152	25	20	713.7399902	4.736500263	145.475	 
0.01231944934	13.81847854	5.922381094	74.875	-2.020767612	98.46875	16.34297371	3.796226263	37	25.5625	1.672757387	-2.589102507	4.226840496	12.10604763	11.9725275	20.97999954	0.03999999911	39.73186874	90.91365051	0.4505548477	0.3474000692	0.7710494399	92.13332367	39.48688126	92.66088867	45.34924698	33.39996719	61.25122452	25	20	713.7399902	4.736500263	158.96	 
