"bins","Time_mean","stage","SpO2_mean","SpO2_sem","MAP_mean","MAP_sem","MCAv_mean","MCAv_sem","PCAv_mean","PCAv_sem","HR_mean","HR_sem","nBeats","FeCO2_mean","FeCO2_sem","Volume_mean","Volume_sem","VT_mean","VT_sem","Fb_mean","Fb_sem","VI_mean","VI_sem","VE_mean","VE_sem","PETCO2_mean","PETCO2_sem","PETO2_mean","PETO2_sem","VO2_mean","VO2_sem","VCO2_mean","VCO2_sem","RER_mean","RER_sem","PO2_mean","PO2_sem","PCO2_mean","PCO2_sem","nBreaths"
"(7038,7053]",7045.43362885714,"bl",97.3794642857143,0.0298190842666105,78.9220079685714,0.294897916882279,44.1564772464286,0.600643983638248,0.0232726203490714,0.00435676376867959,56.4429032464286,1.24339399509909,14,3.110849809,0.118106277,0.9726377426,0.0526032744,-1.0964040755,0.0164853335,10.752239705,0.216681954999999,13.03751516,0.45862627,12.769555095,0.449609755,36.390604015,0.0767116550000004,90.44786835,0,0.5209341049,0.00611221789999999,0.3092602938,0.00100986659999999,0.5937694013,0.00890538100000004,92.518360135,0.207050325000004,35.9084053,0.164386749999998,2
"(7488,7503]",7495.247236,"2",84.0171875,0.120636738418485,88.360612488,1.0918530783734,73.4315471655,0.960064171723646,0.02821515167515,0.0034761682138642,76.939882278,3.02203893494136,20,5.2073900065,0.020318730171723,2.2155019345,0.179002143866439,-2.0544962585,0.183794974244878,16.409249305,1.08712394254317,36.6126604075,0.510596728598212,33.2583570475,0.453404148606265,38.7632303225,0.138150961284137,50.3320732125,0.434104345696834,4.0062310695,0.0638578331032583,1.3565146625,0.0189255077397008,0.33865204455,0.00209178192618743,52.1437559125,0.447278348248155,38.64268017,0.103338193355545,4
"(7683,7698]",7690.75243838095,"4",83.8511904761905,0.102401065646139,97.5235384985714,0.308088914995056,81.9931804104762,0.342044538767697,0.0147200938473333,0.00326294283526854,51.6304932102857,8.1601670702456,21,5.6881502182,0.012614655728482,2.5106162548,0.0907316255311761,-2.2134269238,0.101999455076828,19.733547594,0.489918959354877,48.318669892,2.5464230895909,43.882790374,2.31222056369527,40.644892886,0.126594605967384,46.097917174,0.891514786753358,5.4603304864,0.287030133977333,1.9562275648,0.102019909328993,0.35830766558,0.00107693367210004,49.576343536,0.311263060225131,40.522151184,0.149139193570041,5
"(7803,7818]",7809.846986,"6",83.01875,0.109864973945293,102.1385452325,0.754121180665035,90.191157913,0.297019772639173,0.019517174514,0.00291984508997241,27.8571436875,5.01097535724011,20,6.1688181596,0.0312307836326729,2.7292617798,0.061887927054929,-2.5493888854,0.088541351918923,20.627074434,0.284881820019733,58.053123474,1.49854219077492,52.992008972,1.39947538151067,43.095327758,0.254154935493529,45.890868376,1.24125878747509,6.5623324394,0.150449053712027,2.564328432,0.0725321295470842,0.39062030912,0.00354401732888779,48.458278658,0.421282498655923,43.025190734,0.282852728032373,5
