"bins","Time_mean","stage","SpO2_mean","SpO2_sem","MAP_mean","MAP_sem","MCAv_mean","MCAv_sem","PCAv_mean","PCAv_sem","HR_mean","HR_sem","nBeats","FeCO2_mean","FeCO2_sem","Volume_mean","Volume_sem","VT_mean","VT_sem","Fb_mean","Fb_sem","VI_mean","VI_sem","VE_mean","VE_sem","PETCO2_mean","PETCO2_sem","PETO2_mean","PETO2_sem","VO2_mean","VO2_sem","VCO2_mean","VCO2_sem","RER_mean","RER_sem","PO2_mean","PO2_sem","PCO2_mean","PCO2_sem","nBreaths"
"(6132,6147]",6138.94958169231,"bl",97.4182692307692,0.0305487140075453,73.4014986476923,0.605924906750856,49.6198193492308,0.396001092933472,-0.005798308107,0.00518394043314727,55.0337782646154,1.774301539581,13,2.42189514325,0.0455954058238521,0.7465684265,0.0298422117904051,-0.85023851695,0.110611322147956,17.2828292825,1.16537949079051,15.980640175,1.30736388120095,15.8690500275,1.2960476959773,35.694496155,0.138286136745852,97.3387813575,0.418933847763919,0.38301599025,0.0366889304036592,0.295917101175,0.0277771916475864,0.773573502925,0.0159605489578177,98.4162578575,0.564391454018014,35.3184614175,0.256453709400001,4
"(6747,6762]",6754.30155971429,"2",98.34375,0.0653538025327869,79.0190386092857,0.774995772387421,61.6277599335714,0.607357449827069,0.00803159775985714,0.00662211551328476,54.2238480707143,1.86066150377533,14,4.8927740275,0.0585592232184371,1.78759098075,0.0681256617306353,-1.76530039325,0.0685705434721952,12.9356253125,0.640505349825557,25.1922206875,0.672600500481642,47.512709615,1.42636530766295,38.4760656375,0.220714375118629,335.46115115,3.51441485891349,-15.61383605,0.520085181042128,1.80791640275,0.0701893046574206,-0.1157338172,0.00117446140901071,345.979370125,1.20110670778826,38.0447301875,0.20953054726897,4
"(6972,6987]",6978.87691685714,"4",98.4151785714286,0.0306306361551892,84.049207415,0.473175825951772,65.7994548257143,0.425767072106128,-0.00104720301757143,0.00287532093972562,53.5798756742857,1.93562149929591,14,5.2905598136,0.0589753506486123,2.2551082612,0.306196767729602,-1.7714161636,0.0372741607292437,19.31736603,0.304740409055256,37.960393524,1.13321305891111,71.182489012,2.09211566272846,40.151643374,0.124344989297261,341.97733156,1.88659108295239,-23.005284118,0.681556506073901,2.9254715444,0.0731786187829837,-0.12725996676,0.00140980395327773,345.79467164,0.670083645613933,39.846389008,0.221463781186059,5
"(7182,7197]",7189.06834542857,"6",98.3772321428571,0.0271057461200334,87.2567427507143,1.08794408437544,73.4003884457143,0.73929895146567,0.00280673663864286,0.00348637877014354,71.1670327864286,9.11314085893962,14,5.9641195186,0.0484316382923077,2.7140956404,0.31530748913744,-2.4554917574,0.240671342287792,19.161442186,1.11240343361607,51.509051514,3.9658613571076,97.250944518,7.58800321689243,42.120307924,0.185990673544461,334.7531067,1.98175638511255,-31.189710618,2.46593461982659,4.513088703,0.364374202030166,-0.14467552006,0.00107603557843569,344.72746582,0.545318910079478,42.009709168,0.227738085323282,5
