"bins","Time_mean","stage","SpO2_mean","SpO2_sem","MAP_mean","MAP_sem","MCAv_mean","MCAv_sem","PCAv_mean","PCAv_sem","HR_mean","HR_sem","nBeats","FeCO2_mean","FeCO2_sem","Volume_mean","Volume_sem","VT_mean","VT_sem","Fb_mean","Fb_sem","VI_mean","VI_sem","VE_mean","VE_sem","PETCO2_mean","PETCO2_sem","PETO2_mean","PETO2_sem","VO2_mean","VO2_sem","VCO2_mean","VCO2_sem","RER_mean","RER_sem","PO2_mean","PO2_sem","PCO2_mean","PCO2_sem","nBreaths"
"(8018,8033]",8025.80603633333,"bl",97.3697916666667,0.0337173078662499,76.4134890233333,0.274233021184955,57.7121508908333,0.837114155258149,41.0437056225,0.813629397938115,50.524209975,0.732047238590683,12,2.502063384,0.0315883168456162,0.64768440722,0.063872606514072,-0.7138008833,0.0732633415242907,20.943582532,1.30274022866436,16.208821296,1.04038905222969,16.079341318,1.02742125394156,39.448544312,0.383517412079784,93.572845458,0.818638382944967,0.41216304302,0.0333551415922215,0.31075749992,0.0230403529506967,0.75675095316,0.0158911969879886,94.52142334,0.947231183064279,39.275701904,0.378594879970015,5
"(8768,8783]",8775.98056014286,"2",98.3705357142857,0.0231309259877045,78.9029219485714,0.562253635910587,65.1775411878571,0.626306511827834,49.0664332242857,0.37667619983123,54.0193876557143,1.88984428464826,14,5.116347561,0.0555083755253461,1.188082704758,0.291664129454889,-1.33151957862434,0.333830395856107,68.24855594,54.3671013932866,20.4531103896,5.08560490037878,36.12729985338,8.98407967252969,41.017427062,0.0112992109260246,324.32440184,0.794919291249316,-10.843218255388,2.6968789319997,1.4324349815514,0.356888154721544,-0.13287088872,0.00131270817003056,326.09782716,0.385789908288423,40.76037979,0.0744894987148522,5
"(8918,8933]",8926.04753633333,"4",98.3958333333333,0.0282267779256417,83.0891810093333,0.395993466209061,71.946246846,0.544447681869998,55.484284974,0.561485829290516,58.30827535,1.82981267560585,15,5.6839545034,0.0291425678316283,1.6779608248,0.0740851824656685,-1.7866828682,0.0322275855163585,15.900524904,0.879428077639414,31.43923111,1.75952720952033,57.452993774,3.28081066607274,42.834495544,0.1399033326459,332.86159668,0.562474799870043,-17.824222564,1.04133683929508,2.5491391422,0.150653695934923,-0.14298496248,0.000630392062780614,334.30507202,0.467517679612459,42.550855256,0.128715355790535,5
"(9113,9128]",9120.34289530769,"6",98.3966346153846,0.0313269516062894,88.4967950676923,0.833722961281907,80.8301344653846,0.598728018656566,68.1629650415385,0.687083198296119,40.7594645561538,6.36822084596978,13,6.17861389425,0.0310369374625346,2.18041715025,0.0818925368526994,-2.10044410825,0.167131349034059,17.659834145,0.778701821518018,40.63289356,1.26852999151196,73.2772312175,2.45227720710216,44.6604289975,0.108558271146728,326.87111665,1.93878628337859,-22.03439474,0.821698594730645,3.53187417975,0.106277095701984,-0.160418372625,0.00134058428567726,331.8202057,1.03577990182671,44.35573578,0.171973035627252,4
